Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-01-10,14403.51,14700.0,13412.0,14524.85,17783.54956806,250997061.54306,14114.002414561
2018-01-09,14999.99,15367.18,14123.97,14403.51,13913.52469368,204579121.58441,14703.615804652
2018-01-08,16173.98,16300.0,13900.0,14999.99,16676.34994239,251877784.14267,15103.891739667
2018-01-07,17142.43,17149.97,15707.16,16124.02,8632.81384337,141555094.16036,16397.329622609
2018-01-06,16927.99,17234.99,16220.0,17149.67,9501.01675546,158389594.51445,16670.804671871
2018-01-05,15143.67,17200.0,14810.0,16928.0,16248.91467956,259695892.85336,15982.353158642
2018-01-04,15155.62,15430.27,14192.37,15143.67,15004.01859256,222160244.4909,14806.716155435
2018-01-03,14670.96,15500.0,14546.28,15155.62,12275.00119668,183639413.73724,14960.439579176
2018-01-02,13394.2,15257.53,12910.58,14678.94,16299.66930279,229138844.07688,14057.883004882
2018-01-01,13880.0,13941.75,12801.38,13443.41,7688.0306846,102815718.45172,13373.479200294
2017-12-31,12640.0,14296.06,12491.21,13880.0,11583.41864698,154552644.47156,13342.576072035
2017-12-30,14351.0,14463.28,12050.0,12640.0,21749.67444609,285985550.32365,13148.957747966
2017-12-29,14436.99,15111.0,13998.0,14340.0,13505.70299216,195727638.76896,14492.221462487
2017-12-28,15390.05,15474.19,13500.0,14470.07,16557.21732271,234428578.53875,14158.694300473
2017-12-27,15764.45,16480.52,14484.0,15364.93,15643.75488215,241860985.13003,15460.545562881
2017-12-26,13925.5,16147.87,13746.95,15764.44,15051.16401761,230922569.15497,15342.505661674
2017-12-25,14107.87,14650.0,13210.0,13911.28,11564.54433309,161347357.0787,13951.899221574
2017-12-24,14619.0,14619.1,12488.0,14157.87,18519.48932254,250476423.64496,13525.017849175
2017-12-23,13980.0,15756.22,13496.48,14619.0,21786.4086642,322120599.55537,14785.3923297
2017-12-22,15600.0,15795.61,11159.93,14009.79,57444.88580326,772143020.63877,13441.458013917
2017-12-21,16466.98,17281.17,15005.0,15600.01,20377.86043859,326730689.64543,16033.611115851
2017-12-20,17700.0,17950.0,15343.04,16466.98,31172.2288067,521350550.60848,16724.840364845
2017-12-19,18940.58,19160.79,16831.26,17700.0,21528.13766503,387206242.38184,17986.053805797
2017-12-18,18953.0,19220.0,17835.2,18940.57,14678.94144797,273533539.40283,18634.418590221
2017-12-17,19187.78,19666.0,18465.0,18953.0,9749.24915462,186310530.76467,19110.24406186
2017-12-16,17477.98,19377.0,17269.99,19187.78,9761.22080853,179906034.63695,18430.689989078
2017-12-15,16404.99,17934.0,16337.19,17471.5,18998.38813709,329337014.76427,17334.99770548
2017-12-14,16245.02,16830.45,15852.69,16404.99,13409.52428786,219263192.46054,16351.302831753
2017-12-13,16650.01,17107.03,15497.69,16250.0,17136.7058582,281640493.78952,16434.926065721
2017-12-12,16470.0,17428.42,15967.29,16650.01,13517.89210328,227842348.69952,16854.872561398
2017-12-11,14690.99,17270.0,14677.19,16470.0,16583.72315538,270203844.28469,16293.316148191
2017-12-10,14601.01,15385.0,13011.0,14691.0,18487.98304099,263150668.00414,14233.606090005
2017-12-09,15799.87,15998.5,12701.05,14607.49,16587.47292694,238909072.56332,14402.981913858
2017-12-08,16599.99,16666.66,13482.42,15800.0,25473.39531065,389366035.09339,15285.203654442
2017-12-07,13623.0,16615.62,13085.9,16599.99,25787.67655646,382694044.13063,14840.190945189
2017-12-06,11676.99,13700.0,11659.8,13623.5,19784.87348713,250560790.30234,12664.260424275
2017-12-05,11613.07,11850.0,11384.25,11677.0,11875.0337769,138370076.16,11652.1837967
2017-12-04,11250.0,11613.07,10850.0,11613.07,13621.4819728,154122917.897,11314.6952882
2017-12-03,10875.68,11800.01,10513.16,11250.0,14238.525877,160176290.442,11249.4995497
2017-12-02,10840.45,11200.0,10637.69,10872.0,9267.16105468,101270084.382,10927.8433584
2017-12-01,9927.29,10949.89,9370.11,10840.45,16708.0322485,171881760.618,10287.3730468
